,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.118095650958317,-3.8262601963542364,2.814532820138993e-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.014149452559649944,0.012915035709738731,0.014308248646557331,0.016045033931732178,0.018527820706367493,0.020678674802184105,0.02298375964164734,0.025761963799595833,0.02945544384419918,0.03428350389003754,0.05473378300666809
1,1,-16.118095650958317,-4.51355493591034,4.14153475958301e-08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00843518041074276,0.008340288884937763,0.008623842149972916,0.009170081466436386,0.009775779210031033,0.01036257203668356,0.01139759924262762,0.012693878263235092,0.014582480303943157,0.021019937470555305
2,2,-16.11809565095832,-4.298683124374634,4.984752166592443e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.011042441241443157,0.010591935366392136,0.011246717534959316,0.011701678857207298,0.012289585545659065,0.013334463350474834,0.014814973808825016,0.01697043515741825,0.02487139217555523
3,3,-16.11809565095832,-4.299074939410641,4.092601457728051e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.010827438905835152,0.011115963570773602,0.011343462392687798,0.01185810286551714,0.012842683121562004,0.014254280366003513,0.01629795879125595,0.02396014891564846
4,4,-16.11809565095832,-4.177711613431628,4.922074126056941e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.012087850831449032,0.012727637775242329,0.013324577361345291,0.014227786101400852,0.015466464683413506,0.017438974231481552,0.025332631543278694
5,5,-16.11809565095832,-4.3219361594664205,2.7191253693104045e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.010976789519190788,0.011348786763846874,0.0119231678545475,0.012949240393936634,0.014475676231086254,0.019648177549242973
6,6,-16.11809565095832,-4.326712503652645,2.2947718392174465e-08,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.010923532769083977,0.01167306024581194,0.012669326737523079,0.013841538690030575,0.01799536868929863
7,7,-16.11809565095832,-4.375468475270877,1.757405065916373e-08,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.010476470924913883,0.011466510593891144,0.012708598747849464,0.016416281461715698
8,8,-16.11809565095832,-4.089920020226135,1.7450801692575624e-08,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.012275643646717072,0.014349260367453098,0.02663354203104973
9,9,-16.11809565095832,-3.9501779122617418,1.2532132664944129e-08,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.013982203789055347,0.026505663990974426
10,10,-16.11809565095832,-3.862460803737372,5.881686249153972e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.021016119047999382
11,11,,,2.5685671367625673e-09,,,,,,,,,,,,,,,,,,,,,,,,
