,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-15.303120660436115,-2.9424426068053156,6.661534825980198e-07,,2.980232238769531e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.7881393432617188e-07,1.1920928955078125e-07,1.1920928955078125e-07,2.980232238769531e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0,5.960464477539063e-08,,0.042018111795186996,0.039032451808452606,0.03843754529953003,0.0424952432513237,0.046009935438632965,0.04971586912870407,0.05363241955637932,0.05990329384803772,0.06507352739572525,0.07370872050523758,0.09292484819889069
1,1,-16.071342690837632,-4.563579553103002,3.407974702440697e-08,,,0.0,0.0,0.0,0.0,0.0,0.0,5.960464477539063e-08,0.0,0.0,0.0,,,0.008209575898945332,0.007787464652210474,0.008171571418642998,0.00854224432259798,0.00896868109703064,0.00974428839981556,0.01100520696491003,0.012478379532694817,0.014314324595034122,0.019768888130784035
2,2,-16.014200184023466,-4.369488408325381,3.95425701071872e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.960464477539063e-08,0.0,5.960464477539063e-08,,,,0.009676099754869938,0.010425413027405739,0.010675417259335518,0.011026093736290932,0.011569148860871792,0.012665143236517906,0.013936559669673443,0.01609145663678646,0.021374864503741264
3,3,-16.059654450807464,-4.293601835545486,2.486069483609299e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.960464477539063e-08,,,,,0.01046203263103962,0.010922245681285858,0.01165128592401743,0.012179849669337273,0.013407188467681408,0.014757504686713219,0.016974087804555893,0.022202011197805405
4,4,-16.051305707928773,-4.301688027754038,1.6313581596705262e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.960464477539063e-08,,,,,,0.01024992112070322,0.010931463912129402,0.011650298722088337,0.012677506543695927,0.013938910327851772,0.015938207507133484,0.022758478298783302
5,5,-16.04017405075718,-4.436795383863871,8.239643634055938e-09,,,,,,,0.0,0.0,0.0,0.0,0.0,5.960464477539063e-08,,,,,,,0.010271481238305569,0.010152368806302547,0.010723850689828396,0.01158600952476263,0.01288761105388403,0.016446202993392944
6,6,-16.02458973071695,-4.411282246658997,8.667632833692096e-09,,,,,,,,0.0,0.0,0.0,0.0,5.960464477539063e-08,,,,,,,,0.010434024967253208,0.010919169522821903,0.011544176377356052,0.012787776067852974,0.015674900263547897
7,7,-16.001213250656612,-4.409231220287837,3.991698083183337e-09,,,,,,,,,0.0,5.960464477539063e-08,0.0,0.0,,,,,,,,,0.010462683625519276,0.010965311899781227,0.01205587200820446,0.015830829739570618
8,8,-15.962252450556038,-4.465542172488083,-8.751055990963152e-10,,,,,,,,,,0.0,0.0,5.960464477539063e-08,,,,,,,,,,0.010391592048108578,0.011145106516778469,0.013126269914209843
9,9,-15.8843308503549,-4.2756853727424815,-1.1506373631675615e-09,,,,,,,,,,,0.0,5.960464477539063e-08,,,,,,,,,,,0.0109813641756773,0.017600465565919876
10,10,-16.11809565095832,-4.373982233132793,-1.0359507696122705e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.012600860558450222
11,11,,,-1.7854661082949974e-09,,,,,,,,,,,,,,,,,,,,,,,,
