,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.118095650958317,-3.179750180909565,6.661534825980198e-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04054096341133118,0.03227594494819641,0.036074504256248474,0.040650755167007446,0.0428801067173481,0.04446763917803764,0.04554431885480881,0.04625852406024933,0.04687163233757019,0.04748399928212166,0.0375954769551754
1,1,-16.118095650958317,-4.419520363530496,3.407974702440697e-08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.010813551023602486,0.009565647691488266,0.010888561606407166,0.012115111574530602,0.013064589351415634,0.013650535605847836,0.014065450988709927,0.014386550523340702,0.014674371108412743,0.008857973851263523
2,2,-16.11809565095832,-4.587381999738174,3.95425701071872e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.009919626638293266,0.01005110889673233,0.010101959109306335,0.010111616924405098,0.01018898282200098,0.010220334865152836,0.010279830545186996,0.010439454577863216,0.010310842655599117
3,3,-16.11809565095832,-4.613309567920571,2.486069483609299e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.009929772466421127,0.009856934659183025,0.009803094901144505,0.009829094633460045,0.009824707172811031,0.009826687164604664,0.009952985681593418,0.010338269174098969
4,4,-16.11809565095832,-4.6038168558633705,1.6313581596705262e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.00993991456925869,0.009882509708404541,0.009892010129988194,0.009887533262372017,0.009935775771737099,0.01010583620518446,0.010463750921189785
5,5,-16.11809565095832,-4.595542400727934,8.239643634055938e-09,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.00997137650847435,0.009978614747524261,0.009978781454265118,0.010020877234637737,0.010147935710847378,0.010492418892681599
6,6,-16.11809565095832,-4.593081909792382,8.667632833692096e-09,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.010018275119364262,0.009995817206799984,0.010024827904999256,0.010104801505804062,0.01047157309949398
7,7,-16.11809565095832,-4.590422335970622,3.991698083183337e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.010001624003052711,0.010029769502580166,0.010152709670364857,0.01041499525308609
8,8,-16.11809565095832,-4.587834935276551,-8.751055990963152e-10,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.009993300773203373,0.010098026134073734,0.01043824665248394
9,9,-16.11809565095832,-4.573442683509732,-1.1506373631675615e-09,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.010121716186404228,0.010526780970394611
10,10,-16.11809565095832,-4.57175127007076,-1.0359507696122705e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.010339736007153988
11,11,,,-1.7854661082949974e-09,,,,,,,,,,,,,,,,,,,,,,,,
