,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-8.198301812025145,0.7828799406788193,0.002921433188021183,,0.00030040740966796875,0.0002474784851074219,0.0002853274345397949,0.00033777952194213867,0.00036221742630004883,0.00036025047302246094,0.0003498196601867676,0.0003159046173095703,0.0002834200859069824,0.0002384781837463379,9.78708267211914e-05,,1.4036571979522705,1.2889378070831299,1.4320814609527588,1.608709692955017,1.8639771938323975,2.0813846588134766,2.313279390335083,2.5945866107940674,2.9657235145568848,3.453073024749756,5.528925895690918
1,1,-9.654108440718877,0.0915977404896475,0.000482943985844031,,,0.0001035928726196289,9.22083854675293e-05,9.763240814208984e-05,8.845329284667969e-05,7.981061935424805e-05,7.200241088867188e-05,6.270408630371094e-05,5.352497100830078e-05,4.404783248901367e-05,1.6868114471435547e-05,,,0.8484573364257812,0.8309105634689331,0.8588186502456665,0.916134774684906,0.9772144556045532,1.0362582206726074,1.1402807235717773,1.2700773477554321,1.458765983581543,2.1060726642608643
2,2,-9.382771649948836,0.30179289076356874,0.0005579340504482388,,,,0.00016582012176513672,0.00014132261276245117,0.00012576580047607422,0.00010859966278076172,9.608268737792969e-05,8.20159912109375e-05,6.955862045288086e-05,5.626678466796875e-05,2.1457672119140625e-05,,,,1.1104955673217773,1.0473673343658447,1.11432683467865,1.1631901264190674,1.2228726148605347,1.327675223350525,1.4749362468719482,1.6897627115249634,2.478858232498169
3,3,-9.50474893960752,0.30608875171137784,0.00045905818114988506,,,,,0.00015079975128173828,0.00012499094009399414,0.0001049041748046875,9.149312973022461e-05,7.712841033935547e-05,6.502866744995117e-05,5.251169204711914e-05,1.990795135498047e-05,,,,,1.0857763290405273,1.107831597328186,1.132392168045044,1.184800386428833,1.284463882446289,1.4263346195220947,1.6318875551223755,2.3986756801605225
4,4,-9.429954083949,0.4256544596656629,0.0005465801223181188,,,,,,0.0001500844955444336,0.00013446807861328125,0.0001175999641418457,9.512901306152344e-05,7.659196853637695e-05,5.841255187988281e-05,2.1278858184814453e-05,,,,,,1.2039846181869507,1.269256591796875,1.3298568725585938,1.4213813543319702,1.5452985763549805,1.7419787645339966,2.530897378921509
5,5,-9.902444926694846,0.28373388645598735,0.0003166884707752615,,,,,,,9.638071060180664e-05,8.279085159301758e-05,6.532669067382812e-05,5.251169204711914e-05,3.981590270996094e-05,1.4424324035644531e-05,,,,,,,1.0969109535217285,1.1351224184036255,1.1929678916931152,1.2961318492889404,1.4495177268981934,1.96620512008667
6,6,-10.169564467978855,0.2777007937046531,0.00026527600130066276,,,,,,,,6.973743438720703e-05,5.7220458984375e-05,4.678964614868164e-05,3.534555435180664e-05,1.2516975402832031e-05,,,,,,,,1.091240406036377,1.1679152250289917,1.2661759853363037,1.3824834823608398,1.7969410419464111
7,7,-10.498477701691886,0.23002091995909757,0.00023247736680787057,,,,,,,,,4.83393669128418e-05,3.933906555175781e-05,2.9325485229492188e-05,1.0371208190917969e-05,,,,,,,,,1.0466457605361938,1.1467976570129395,1.271706223487854,1.6440459489822388
8,8,-10.667451785821433,0.5167960254867462,0.00023762726050335914,,,,,,,,,,3.522634506225586e-05,2.9206275939941406e-05,1.2278556823730469e-05,,,,,,,,,,1.2246819734573364,1.4382426738739014,2.6758975982666016
9,9,-10.988780981938028,0.652758613360049,0.00021247989207040519,,,,,,,,,,,2.47955322265625e-05,1.150369644165039e-05,,,,,,,,,,,1.3938767910003662,2.647003650665283
10,10,-12.000640472881237,0.7437952377569144,0.00010760185250546783,,,,,,,,,,,,6.139278411865234e-06,,,,,,,,,,,,2.103905200958252
11,11,,,8.056013030000031e-05,,,,,,,,,,,,,,,,,,,,,,,,
