,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-7.8747577420287715,1.071833366523488,0.002921433188021183,,0.0009207725524902344,0.0006167292594909668,0.0005429387092590332,0.0005477070808410645,0.00048536062240600586,0.00042635202407836914,0.000376284122467041,0.00033777952194213867,0.0003280043601989746,0.00025159120559692383,6.55055046081543e-05,,2.683487892150879,2.284679651260376,2.2547531127929688,2.3567144870758057,2.4667718410491943,2.5692331790924072,2.7164409160614014,3.005192995071411,3.41402530670166,3.948298215866089,5.8075337409973145
1,1,-9.295012982787792,0.3630169302109557,0.000482943985844031,,,0.0001443028450012207,0.0001361370086669922,0.00014036893844604492,0.00012701749801635742,0.00011795759201049805,0.00010508298873901367,9.322166442871094e-05,8.392333984375e-05,6.35981559753418e-05,1.9848346710205078e-05,,,1.0641846656799316,1.0986722707748413,1.1759828329086304,1.2211498022079468,1.2854787111282349,1.3495593070983887,1.4962407350540161,1.6338950395584106,1.8494409322738647,2.8640754222869873
2,2,-9.340381272899936,0.4076119226847289,0.0005579340504482388,,,,0.0001373291015625,0.00013375282287597656,0.00012159347534179688,0.00011420249938964844,0.00011056661605834961,9.828805923461914e-05,9.042024612426758e-05,6.55055046081543e-05,1.8894672393798828e-05,,,,1.0883569717407227,1.1317639350891113,1.17153000831604,1.2499098777770996,1.3700612783432007,1.5598722696304321,1.7285548448562622,1.9865413904190063,2.961033582687378
3,3,-9.460065999455745,0.37454835355841604,0.00045905818114988506,,,,,0.00011998414993286133,0.00011682510375976562,0.0001220703125,0.00011473894119262695,9.578466415405273e-05,8.32676887512207e-05,5.930662155151367e-05,1.4603137969970703e-05,,,,,1.0908399820327759,1.155142903327942,1.2714353799819946,1.3654204607009888,1.4582605361938477,1.560958981513977,1.716105580329895,2.341996192932129
4,4,-9.770618134905657,0.30820740543598474,0.0005465801223181188,,,,,,9.697675704956055e-05,9.506940841674805e-05,8.589029312133789e-05,7.170438766479492e-05,6.395578384399414e-05,4.690885543823242e-05,1.1622905731201172e-05,,,,,,1.0781136751174927,1.1426182985305786,1.1913933753967285,1.2833625078201294,1.3825017213821411,1.5440311431884766,2.1511833667755127
5,5,-9.825417417729605,0.37059584770160886,0.0003166884707752615,,,,,,,9.250640869140625e-05,9.161233901977539e-05,8.249282836914062e-05,6.633996963500977e-05,4.7266483306884766e-05,1.138448715209961e-05,,,,,,,1.1390584707260132,1.245613694190979,1.3918439149856567,1.4224787950515747,1.5512319803237915,2.120527505874634
6,6,-10.165399588494301,0.33156245855650973,0.00026527600130066276,,,,,,,,7.086992263793945e-05,6.300210952758789e-05,5.501508712768555e-05,3.892183303833008e-05,8.821487426757812e-06,,,,,,,,1.1149964332580566,1.2275782823562622,1.3595362901687622,1.553763747215271,1.815015196800232
7,7,-10.493968946614755,0.24393031908287205,0.00023247736680787057,,,,,,,,,4.774332046508789e-05,4.6253204345703125e-05,3.314018249511719e-05,8.046627044677734e-06,,,,,,,,,1.0744050741195679,1.1906832456588745,1.3100968599319458,1.5830063819885254
8,8,-10.910481634438156,0.19592215475199318,0.00023762726050335914,,,,,,,,,,3.55839729309082e-05,2.7358531951904297e-05,6.258487701416016e-06,,,,,,,,,,1.0661040544509888,1.2314058542251587,1.3710803985595703
9,9,-11.334910183092038,0.2562834198072589,0.00021247989207040519,,,,,,,,,,,2.574920654296875e-05,5.543231964111328e-06,,,,,,,,,,,1.2437094449996948,1.3424125909805298
10,10,-12.317820548705312,0.16228842454313155,0.00010760185250546783,,,,,,,,,,,,4.470348358154297e-06,,,,,,,,,,,,1.1761994361877441
11,11,,,8.056013030000031e-05,,,,,,,,,,,,,,,,,,,,,,,,
