,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-9.109507532781793,0.4259777410075145,0.002818238688632846,,0.0002472400665283203,0.00014483928680419922,0.0001342296600341797,0.00013071298599243164,0.0001430511474609375,0.00013881921768188477,0.00012612342834472656,0.00010335445404052734,8.797645568847656e-05,7.253885269165039e-05,2.9206275939941406e-05,,1.3052293062210083,1.0535130500793457,1.0916577577590942,1.1576048135757446,1.3414628505706787,1.4493147134780884,1.559416651725769,1.680001974105835,1.880220890045166,2.143470048904419,3.0386762619018555
1,1,-10.023146358137193,0.05465606162914194,0.0004915617173537612,,,8.636713027954102e-05,7.176399230957031e-05,6.401538848876953e-05,5.930662155151367e-05,5.543231964111328e-05,5.054473876953125e-05,4.2498111724853516e-05,3.457069396972656e-05,2.855062484741211e-05,1.0669231414794922e-05,,,0.830039381980896,0.8230485916137695,0.832122802734375,0.8963908553123474,0.9482786059379578,1.01767897605896,1.1177113056182861,1.2250852584838867,1.3816152811050415,1.856647253036499
2,2,-9.733025603221513,0.29764765009911076,0.0005691267433576286,,,,0.00010883808135986328,9.47117805480957e-05,8.869171142578125e-05,8.07046890258789e-05,7.200241088867188e-05,5.930662155151367e-05,4.839897155761719e-05,4.017353057861328e-05,1.4781951904296875e-05,,,,1.029999017715454,1.041650652885437,1.1284642219543457,1.1745671033859253,1.2553718090057373,1.365958333015442,1.497024416923523,1.730242133140564,2.30637788772583
3,3,-9.779930017498154,0.33925794311361646,0.00045169619261287153,,,,,0.00011730194091796875,0.00010055303573608398,8.660554885864258e-05,7.420778274536133e-05,5.9604644775390625e-05,4.744529724121094e-05,3.784894943237305e-05,1.2934207916259766e-05,,,,,1.1731092929840088,1.2165158987045288,1.2055494785308838,1.2634804248809814,1.3708906173706055,1.4759920835494995,1.6508673429489136,2.0782318115234375
4,4,-10.012144192519427,0.3032851357597943,0.0005483267595991492,,,,,,8.7738037109375e-05,7.283687591552734e-05,6.335973739624023e-05,5.245208740234375e-05,4.279613494873047e-05,3.403425216674805e-05,1.1801719665527344e-05,,,,,,1.1551539897918701,1.1025439500808716,1.1711465120315552,1.2840956449508667,1.4123735427856445,1.5922539234161377,1.939988374710083
5,5,-10.16720708857143,0.31441162567630343,0.00031128228874877095,,,,,,,7.164478302001953e-05,6.133317947387695e-05,4.976987838745117e-05,4.07099723815918e-05,3.2007694244384766e-05,1.1265277862548828e-05,,,,,,,1.1126381158828735,1.1618610620498657,1.2536096572875977,1.3832309246063232,1.5582444667816162,1.8883507251739502
6,6,-10.33940550220408,0.33314110078014797,0.0002644820197019726,,,,,,,,5.507469177246094e-05,4.57763671875e-05,3.910064697265625e-05,3.165006637573242e-05,1.1324882507324219e-05,,,,,,,,1.1167705059051514,1.2023861408233643,1.3706265687942505,1.5464272499084473,1.8584469556808472
7,7,-10.761369612825911,0.25669136981463847,0.00023043858527671546,,,,,,,,,3.5881996154785156e-05,2.9742717742919922e-05,2.3186206817626953e-05,8.165836334228516e-06,,,,,,,,,1.0910134315490723,1.2202625274658203,1.3204445838928223,1.5882359743118286
8,8,-10.901028967925791,0.3577704361976948,0.00023320078616961837,,,,,,,,,,2.9802322387695312e-05,2.467632293701172e-05,8.52346420288086e-06,,,,,,,,,,1.2260819673538208,1.411598563194275,1.690061330795288
9,9,-11.579591441312715,0.2134956483607407,0.00021014409139752388,,,,,,,,,,,1.5616416931152344e-05,5.602836608886719e-06,,,,,,,,,,,1.1599514484405518,1.3212960958480835
10,10,-12.253296005551965,0.24189572593754946,0.00010663039574865252,,,,,,,,,,,,4.76837158203125e-06,,,,,,,,,,,,1.2736613750457764
11,11,,,8.030566823435947e-05,,,,,,,,,,,,,,,,,,,,,,,,
