,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-9.884528083755594,-3.6015761994935698,0.0747666135430336,,0.00562363862991333,0.00022530555725097656,2.664327621459961e-05,3.49879264831543e-05,2.5272369384765625e-05,2.968311309814453e-05,3.522634506225586e-05,2.6166439056396484e-05,2.9027462005615234e-05,2.676248550415039e-05,9.47713851928711e-06,,0.3155026137828827,0.06086542829871178,0.01729886420071125,0.0171066801995039,0.019319698214530945,0.01738191395998001,0.017854534089565277,0.01713998056948185,0.018719812855124474,0.02044871635735035,0.027862951159477234
1,1,-10.495201489863494,-3.9169187077527936,0.16382309794425964,,,0.00021445751190185547,2.771615982055664e-05,3.516674041748047e-05,2.384185791015625e-05,2.7239322662353516e-05,3.11732292175293e-05,2.1576881408691406e-05,2.2530555725097656e-05,1.9311904907226562e-05,6.616115570068359e-06,,,0.05945960804820061,0.017723193392157555,0.017215339466929436,0.018777616322040558,0.016719838604331017,0.016806863248348236,0.015647007152438164,0.016531148925423622,0.017467819154262543,0.02254374884068966
2,2,-10.948853728392711,-4.153100944690039,0.054711051285266876,,,,2.110004425048828e-05,2.6881694793701172e-05,1.8656253814697266e-05,2.1219253540039062e-05,2.473592758178711e-05,1.728534698486328e-05,1.8358230590820312e-05,1.6391277313232422e-05,5.543231964111328e-06,,,,0.015418700873851776,0.015052883885800838,0.01658821478486061,0.014760485850274563,0.014948121272027493,0.014010783284902573,0.014919957146048546,0.016005897894501686,0.020573865622282028
3,3,-11.339309129840911,-4.337671542741059,0.010425078682601452,,,,,1.8775463104248047e-05,1.2516975402832031e-05,1.4722347259521484e-05,1.71661376953125e-05,1.2099742889404297e-05,1.2516975402832031e-05,1.1324882507324219e-05,3.933906555175781e-06,,,,,0.012523657642304897,0.013713069260120392,0.012295163236558437,0.012387930415570736,0.01162385568022728,0.012377498671412468,0.013200982473790646,0.01710790954530239
4,4,-11.29400595929294,-4.2774071988311,0.007456113118678331,,,,,,1.4722347259521484e-05,1.6808509826660156e-05,1.895427703857422e-05,1.329183578491211e-05,1.3947486877441406e-05,1.239776611328125e-05,4.291534423828125e-06,,,,,,0.01477847434580326,0.013078548945486546,0.013103618286550045,0.012222621589899063,0.012960379011929035,0.013812387362122536,0.01789732649922371
5,5,-11.140727967369742,-4.193798872103664,0.006937961559742689,,,,,,,2.0325183868408203e-05,2.3126602172851562e-05,1.609325408935547e-05,1.6868114471435547e-05,1.4424324035644531e-05,5.066394805908203e-06,,,,,,,0.014409327879548073,0.014493880793452263,0.013432331383228302,0.014235690236091614,0.01514717098325491,0.0195095706731081
6,6,-10.674159400396373,-3.9168419224333837,0.006598985753953457,,,,,,,,3.916025161743164e-05,2.7418136596679688e-05,2.8789043426513672e-05,2.4974346160888672e-05,8.58306884765625e-06,,,,,,,,0.01885038986802101,0.01757230795919895,0.018674712628126144,0.019780956208705902,0.02552909217774868
7,7,-10.463959482166496,-3.7379297016227824,0.009748930111527443,,,,,,,,,3.826618194580078e-05,3.993511199951172e-05,3.504753112792969e-05,1.239776611328125e-05,,,,,,,,,0.020788362249732018,0.02199150063097477,0.023369180038571358,0.0300491601228714
8,8,-10.570054949594997,-3.695062283197279,0.006394428666681051,,,,,,,,,,4.00543212890625e-05,3.457069396972656e-05,1.2218952178955078e-05,,,,,,,,,,0.022003721445798874,0.023261412978172302,0.029966238886117935
9,9,-10.048613761502168,-3.262462915796556,0.010532190091907978,,,,,,,,,,,7.31348991394043e-05,2.5570392608642578e-05,,,,,,,,,,,0.033786460757255554,0.04340282455086708
10,10,-10.451348850901562,-3.073431232368153,0.008262730203568935,,,,,,,,,,,,2.8908252716064453e-05,,,,,,,,,,,,0.046262145042419434
11,11,,,0.004765479359775782,,,,,,,,,,,,,,,,,,,,,,,,
