,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-7.921870049708593,1.0445104003929648,0.0023532393388450146,,0.0009179115295410156,0.0006121993064880371,0.0005334019660949707,0.0005283951759338379,0.0004704594612121582,0.0004107356071472168,0.0003647804260253906,0.000322878360748291,0.00030237436294555664,0.00022667646408081055,5.78761100769043e-05,,2.680562973022461,2.2757537364959717,2.247359275817871,2.34106707572937,2.4411306381225586,2.549976110458374,2.700498342514038,2.937636137008667,3.2713496685028076,3.6675586700439453,5.137660503387451
1,1,-9.262467226244832,0.37482381674753357,0.0010119524085894227,,,0.00014358758926391602,0.00013113021850585938,0.00013715028762817383,0.0001265406608581543,0.00011938810348510742,0.00010854005813598633,9.918212890625e-05,9.1552734375e-05,7.039308547973633e-05,2.193450927734375e-05,,,1.062796711921692,1.0846635103225708,1.1670584678649902,1.2225899696350098,1.2938493490219116,1.3757883310317993,1.5484577417373657,1.707341194152832,1.948010802268982,2.814972162246704
2,2,-9.407302938779658,0.3835517234744929,0.000478697766084224,,,,0.00013822317123413086,0.0001297593116760254,0.00011628866195678711,0.00010758638381958008,0.00010412931442260742,9.1552734375e-05,8.26716423034668e-05,6.103515625e-05,1.5735626220703125e-05,,,,1.0938434600830078,1.1253057718276978,1.150040864944458,1.2106417417526245,1.3235262632369995,1.5060348510742188,1.658837914466858,1.9885107278823853,2.8010151386260986
3,3,-9.475122827477078,0.36974431012483044,0.0008271030383184552,,,,,0.00011819601058959961,0.00011372566223144531,0.00011795759201049805,0.0001118779182434082,9.393692016601562e-05,8.183717727661133e-05,6.0617923736572266e-05,1.4543533325195312e-05,,,,,1.0885993242263794,1.1412014961242676,1.2516623735427856,1.341888427734375,1.4369993209838867,1.5430536270141602,1.727779746055603,2.409147262573242
4,4,-9.765466544103711,0.3153737134278495,0.0006356021040119231,,,,,,9.721517562866211e-05,9.5367431640625e-05,8.749961853027344e-05,7.343292236328125e-05,6.335973739624023e-05,4.678964614868164e-05,1.1622905731201172e-05,,,,,,1.0783499479293823,1.1453577280044556,1.2027839422225952,1.2945555448532104,1.3771800994873047,1.5324134826660156,2.240678548812866
5,5,-9.821330484453496,0.37887982433883954,0.000392963585909456,,,,,,,9.131431579589844e-05,9.08970832824707e-05,8.153915405273438e-05,6.628036499023438e-05,4.9054622650146484e-05,1.1622905731201172e-05,,,,,,,1.1321381330490112,1.2347503900527954,1.3790911436080933,1.429500699043274,1.595004677772522,2.2092995643615723
6,6,-10.131455032790853,0.35688463598626374,0.0003125581133645028,,,,,,,,7.241964340209961e-05,6.508827209472656e-05,5.704164505004883e-05,4.023313522338867e-05,9.238719940185547e-06,,,,,,,,1.132791519165039,1.261218547821045,1.3929263353347778,1.5388107299804688,1.9449634552001953
7,7,-10.471484127231893,0.2631102536139911,0.00022855460701975971,,,,,,,,,4.798173904418945e-05,4.583597183227539e-05,3.510713577270508e-05,8.344650268554688e-06,,,,,,,,,1.0829440355300903,1.1860754489898682,1.3402942419052124,1.6639904975891113
8,8,-10.925304543399788,0.188402696465525,0.0002055529475910589,,,,,,,,,,3.552436828613281e-05,2.6464462280273438e-05,6.198883056640625e-06,,,,,,,,,,1.0678319931030273,1.1945825815200806,1.379582405090332
9,9,-11.425282769756764,0.17004431681603036,0.00014313655265141279,,,,,,,,,,,2.4080276489257812e-05,4.947185516357422e-06,,,,,,,,,,,1.1456304788589478,1.2264618873596191
10,10,-12.372616185494639,0.1420444023083869,0.00014170777285471559,,,,,,,,,,,,4.231929779052734e-06,,,,,,,,,,,,1.1526278257369995
11,11,,,0.00010733115050243214,,,,,,,,,,,,,,,,,,,,,,,,
